day_number,visit_date,group,users,conversions,atc,revenue,bounces,conversion_rate,atc_rate,bounce_rate,rpv
0,2024-01-08,control,1493,38,170,2285.78,580,2.545,11.386,38.848,1.531
0,2024-01-08,treatment,1499,54,207,2962.03,501,3.602,13.809,33.422,1.976
1,2024-01-09,control,1574,39,177,2240.21,602,2.478,11.245,38.247,1.4233
1,2024-01-09,treatment,1540,58,204,2870.74,527,3.766,13.247,34.221,1.8641
2,2024-01-10,control,1798,46,217,2188.1,680,2.558,12.069,37.82,1.217
2,2024-01-10,treatment,1817,71,269,3801.19,592,3.908,14.805,32.581,2.092
3,2024-01-11,control,1817,47,212,2472.13,693,2.587,11.668,38.14,1.3606
3,2024-01-11,treatment,1846,61,266,3840.77,631,3.304,14.41,34.182,2.0806
4,2024-01-12,control,1944,71,254,3847.75,747,3.652,13.066,38.426,1.9793
4,2024-01-12,treatment,1921,80,275,4690.5,622,4.164,14.315,32.379,2.4417
5,2024-01-13,control,1935,70,237,4043.43,743,3.618,12.248,38.398,2.0896
5,2024-01-13,treatment,1925,67,279,3840.98,617,3.481,14.494,32.052,1.9953
6,2024-01-14,control,1549,41,181,1832.49,619,2.647,11.685,39.961,1.183
6,2024-01-14,treatment,1561,54,213,3099.79,491,3.459,13.645,31.454,1.9858
7,2024-01-15,control,1379,50,167,2850.69,507,3.626,12.11,36.766,2.0672
7,2024-01-15,treatment,1426,47,213,3081.3,443,3.296,14.937,31.066,2.1608
8,2024-01-16,control,1652,48,179,2873.83,644,2.906,10.835,38.983,1.7396
8,2024-01-16,treatment,1532,66,223,3371.33,499,4.308,14.556,32.572,2.2006
9,2024-01-17,control,1835,56,225,2707.32,646,3.052,12.262,35.204,1.4754
9,2024-01-17,treatment,1793,64,229,3165.5099999999998,602,3.569,12.772,33.575,1.7655
10,2024-01-18,control,1796,52,211,2874.67,652,2.895,11.748,36.303,1.6006
10,2024-01-18,treatment,1779,50,245,3002.1,594,2.811,13.772,33.39,1.6875
11,2024-01-19,control,1923,54,233,2957.5699999999997,740,2.808,12.116,38.482,1.538
11,2024-01-19,treatment,1918,51,240,2659.43,646,2.659,12.513,33.681,1.3866
12,2024-01-20,control,1884,50,219,2694.21,722,2.654,11.624,38.323,1.43
12,2024-01-20,treatment,2030,83,272,4437.58,650,4.089,13.399,32.02,2.186
13,2024-01-21,control,1577,51,193,2806.29,588,3.234,12.238,37.286,1.7795
13,2024-01-21,treatment,1569,54,217,2905.57,544,3.442,13.83,34.672,1.8519
